Radial Distance r (a.u.),Computed Wavefunction
4.355,0.0017431959257240657
4.36,0.0017312004133025595
4.365,0.0017192881892309567
4.37,0.001707458668450359
4.375,0.001695711270074875
4.38,0.0016840454173612316
4.385,0.001672460537678683
4.39,0.0016609560624790136
4.3950000000000005,0.0016495314272668992
4.4,0.0016381860715704044
4.405,0.001626919438911705
4.41,0.0016157309767781197
4.415,0.0016046201365931723
4.42,0.001593586373688132
4.425,0.0015826291472734793
4.43,0.0015717479204108342
4.4350000000000005,0.0015609421599849069
4.44,0.0015502113366757985
4.445,0.0015395549249314006
4.45,0.0015289724029400621
4.455,0.0015184632526034363
4.46,0.001508026959509555
4.465,0.0014976630129060816
4.47,0.001487370905673737
4.4750000000000005,0.0014771501342999895
4.48,0.0014670001988528938
4.485,0.001456920602955114
4.49,0.0014469108537582085
4.495,0.0014369704619170006
4.5,0.0014270989415642414
4.505,0.001417295810285401
4.51,0.0014075605890936547
4.515,0.0013978928024050926
4.5200000000000005,0.0013882919780140428
4.525,0.001378757647068659
4.53,0.001369289344046616
4.535,0.0013598866067310361
4.54,0.0013505489761865865
4.545,0.0013412759967357348
4.55,0.0013320672159351631
4.555,0.0013229221845524448
4.5600000000000005,0.0013138404565427757
4.565,0.0013048215890259548
4.57,0.0012958651422635384
4.575,0.0012869706796361118
4.58,0.0012781377676207583
4.585,0.001269365975768725
4.59,0.0012606548766831856
4.595,0.0012520040459972467
4.6000000000000005,0.001243413062352038
4.605,0.0012348815073750265
4.61,0.0012264089656584564
4.615,0.001217995024737969
4.62,0.0012096392750713537
4.625,0.001201341310017506
4.63,0.0011931007258154562
4.635,0.0011849171215636695
4.64,0.0011767900991993651
4.6450000000000005,0.0011687192634781203
4.65,0.0011607042219535164
4.655,0.0011527445849569943
4.66,0.0011448399655778554
4.665,0.0011369899796433878
4.67,0.0011291942456991464
4.675,0.001121452384989405
4.68,0.0011137640214376847
4.6850000000000005,0.0011061287816275227
4.69,0.0010985462947832889
4.695,0.0010910161927512126
4.7,0.0010835381099805156
4.705,0.0010761116835046741
4.71,0.001068736552922861
4.715,0.0010614123603814747
4.72,0.0010541387505558365
4.7250000000000005,0.0010469153706320227
4.73,0.001039741870288799
4.735,0.0010326179016797396
4.74,0.0010255431194154104
4.745,0.0010185171805457657
4.75,0.0010115397445425805
4.755,0.0010046104732821027
4.76,0.0009977290310277493
4.765,0.00099089508441302
4.7700000000000005,0.0009841083024244364
4.775,0.000977368356384697
4.78,0.00097067491993588
4.785,0.0009640276690228384
4.79,0.00095742628187665
4.795,0.0009508704389982617
4.8,0.0009443598231421628
4.805,0.0009378941193002891
4.8100000000000005,0.000931473014685907
4.815,0.0009250961987177854
4.82,0.0009187633630043224
4.825,0.0009124742013278765
4.83,0.0009062284096292084
4.835,0.0009000256859919907
4.84,0.0008938657306275004
4.845,0.0008877482458593529
4.8500000000000005,0.0008816729361083857
4.855,0.0008756395078776682
4.86,0.0008696476697375663
4.865,0.0008636971323109654
4.87,0.0008577876082586059
4.875,0.0008519188122644404
4.88,0.0008460904610212548
4.885,0.0008403022732162141
4.89,0.000834553969516664
4.8950000000000005,0.0008288452725559402
4.9,0.0008231759069193044
4.905,0.0008175455991300524
4.91,0.0008119540776355904
4.915,0.0008064010727937432
4.92,0.0008008863168590701
4.925,0.000795409543969339
4.93,0.0007899704901320508
4.9350000000000005,0.0007845688932111259
4.94,0.0007792044929136138
4.945,0.0007738770307765559
4.95,0.0007685862501539077
4.955,0.0007633318962035963
4.96,0.0007581137158746156
4.965,0.0007529314578942687
4.97,0.0007477848727554803
4.9750000000000005,0.0007426737127041969
4.98,0.0007375977317268856
4.985,0.0007325566855381289
4.99,0.000727550331568291
4.995,0.0007225784289513023
5.0,0.0007176407385125098
5.005,0.0007127370227566163
5.01,0.0007078670458557265
5.015,0.0007030305736374495
5.0200000000000005,0.0006982273735731379
5.025,0.0006934572147661407
